,Demand,Back-up share,Demand share
0,213.02,0.3992241349451007,0.17924639437235992
1,212.74,0.5112308445875027,0.5545302888124284
2,211.45000000000002,0.49768659973810564,0.5390694710006374
3,213.13,0.47778183271640334,0.38727672487416637
4,202.72,0.4601126721379886,0.37449198256114685
5,229.24,0.45868301006372536,0.31170455781572937
6,211.25,0.43907803290226094,0.2460257380772142
7,209.64999999999998,0.4252914478953458,0.2121212121212121
8,202.64000000000001,0.40565412904800086,0.20204598480467426
9,212.6,0.406173700732473,0.183878221760941
10,232.26,0.4055101613241148,0.17715436364468445
11,213.57,0.3889831546171742,0.1653440894346079
12,215.97,0.3880666932699481,0.16702112027964458
13,212.2,0.37020237264480105,0.14826718837339295
14,369.43,0.3724238331608581,0.2325316447728689
15,374.72,0.38790122594390697,0.23418243631727623
16,372.57,0.3856195425831627,0.2318462696876731
17,376.58000000000004,0.40506461388414783,0.2582534392187522
18,385.01,0.4209525139177327,0.26341500126572753
19,374.12,0.4211094097995546,0.2811832967561555
20,374.12,0.4369856325847399,0.31414368723339936
21,385.11,0.4465289214105024,0.3378721014905993
22,375.34,0.4576765502395667,0.3697785308953342
23,363.02000000000004,0.45831592143752614,0.3610630383322393
24,377.96000000000004,0.4806961252746486,0.4405847107919708
25,375.91,0.4945028054045551,0.521944988267311
26,374.27,0.5051361907875492,0.6729417264505456
27,388.52000000000004,0.5311845229780696,0.6926477929116451
28,382.18,0.47735955408029057,0.7771361177762414
29,372.83,0.4154977199035944,0.27457781902005407
30,376.48,0.4032330644882135,0.2474432789126377
31,362.52,0.38792671580906024,0.24093791123340114
32,373.55,0.37714335451301245,0.2205200861890847
33,369.04,0.351203932967309,0.19870345243479576
34,373.89,0.3480684492735671,0.19509102578150678
35,371.67,0.3429547364844323,0.19412714082013194
36,368.69,0.3311650841945129,0.182159990909046
37,371.71,0.31602915966823086,0.18071281679801254
38,371.98,0.313663946432308,0.17029867965645432
39,374.23,0.29417528388711006,0.15932613258515943
40,374.45000000000005,0.2855783372264037,0.1516145358841988
41,438.66,0.38713255684969494,0.17637692697401752
42,630.2,0.41933228456563537,0.3393097507134012
43,630.89,0.44162084337976376,0.38480869050741395
44,625.11,0.4433337389822847,0.41502180970780966
45,635.88,0.4620839009396067,0.4222366830900809
46,631.69,0.48189773656465845,0.47653497687822033
47,631.62,0.48259642521166507,0.47722739361702127
48,634.3,0.500609225413403,0.5372236808672821
49,635.52,0.4982626092450248,0.5397105781642775
50,635.23,0.5178916912136371,0.6102523704764009
51,633.1500000000001,0.5209495969527859,0.6138445877163219
52,638.07,0.5396944043666453,0.7392170719556982
53,640.4200000000001,0.5578972868217054,0.9321708247212601
54,635.37,0.4466320884000902,0.3909079163513538
55,632.4300000000001,0.44681147070587623,0.3926600150251765
56,630.39,0.4279664693937763,0.3549513229241156
57,645.28,0.42200651642682596,0.3262318122529045
58,632.5,0.4059405940594059,0.3225230737851206
59,626.6700000000001,0.3778573539381508,0.28872548342064164
60,629.87,0.35655161642979855,0.26953574653275536
61,643.26,0.35487792171708404,0.25543827881156034
62,617.0699999999999,0.3198929969706096,0.24629894985570988
63,626.89,0.31192261521599196,0.23360125801631396
64,631.3,0.311333794056669,0.2354367121652868
65,624.4200000000001,0.30596706401157586,0.17818069751913299
66,624.0899999999999,0.20381451654624153,0.1755779310111999
67,637.87,0.23363417464964403,0.1915945537610347
68,622.59,0.23273789966971592,0.18789554216249335
69,611.49,0.240377942668019,0.18621470922318417
70,625.17,0.25714879539983027,0.20049259661917088
71,622.55,0.2833771297787573,0.21806749916808238
72,638.12,0.31473306662988004,0.23804052642573634
73,630.53,0.31618905971672173,0.23743141928657227
74,631.0699999999999,0.34292184555811017,0.2571314484551414
75,657.89,0.36899386361004977,0.26232809253994394
76,1046.0,0.38835960505802875,0.3647140864714087
77,1045.72,0.3877302322342537,0.3651358976507724
78,1037.09,0.3691026506691598,0.3596897988062248
79,1047.55,0.3643196544276458,0.34277907756744813
80,1059.64,0.356703400716652,0.32321469967423533
81,1040.79,0.328253990701621,0.30579182568993324
82,1043.75,0.30931951405997793,0.3042515048607366
83,1040.8899999999999,0.29031027246396923,0.2848249687370878
84,1023.9,0.2613950276243094,0.26555489275617916
85,1032.6799999999998,0.25101707291630443,0.2612871557683159
86,1048.2,0.35521973249956573,0.2666971986871231
87,1051.8400000000001,0.3558038184836746,0.35817805383022777
88,1053.3799999999999,0.3852345267832362,0.36047745176546275
89,1054.82,0.4098366341784884,0.38861298594123017
90,1058.85,0.42641574885092365,0.3979068412844554
91,1046.76,0.42486920971485986,0.4349611063094209
92,1058.05,0.4577433822882772,0.44152565359818047
93,1060.88,0.4726589435939871,0.4797800269539342
94,1062.4,0.49791811242192924,0.5211675251410351
95,1069.95,0.6103290439588911,0.9661384261140458
96,1072.03,0.591426541680384,0.8495835413645262
97,1068.87,0.579023985645852,0.8397982353449562
98,1065.24,0.5706659271328041,0.7361510393631135
99,1064.9299999999998,0.5503787287885878,0.636908428676519
100,1072.4099999999999,0.5506571314782428,0.5896542054533157
101,1058.9,0.5228882363102436,0.5819730695245947
102,1062.14,0.5151697525400928,0.5378632123722616
103,1045.99,0.47907771135781385,0.4866903344981132
104,1060.46,0.4742878663379895,0.48570093800381076
105,1584.98,0.46579871874354206,0.5672839461986128
106,1612.62,0.53202311338708,0.573351537001088
107,1628.74,0.5410898479913138,0.5902643385737169
108,1622.24,0.5550663847193815,0.6107739341274981
109,1624.26,0.5540183537263625,0.6118062722704775
110,1622.79,0.5705276325162009,0.6451444905163812
111,1624.19,0.5808789828379365,0.6873452701873474
112,1630.0,0.603937968287158,0.6923795769263443
113,1612.54,0.6051806977229998,0.7221923648806005
114,1626.4499999999998,0.6298673141965138,0.7976117499938699
115,1618.43,0.6424721206015942,0.8781831105902015
116,1635.36,0.6606549596582819,0.9702751771029866
117,1571.11,0.5637985801322664,0.9378585371386274
118,1621.3200000000002,0.5632096107774036,0.6267860456485435
119,1618.59,0.5412907582815286,0.5866178117491002
120,1625.09,0.5302435459474159,0.5544319689944697
121,1595.6,0.4901554404145078,0.5463260973772512
122,1605.0,0.48895027624309384,0.5141758769822201
123,1596.24,0.46428571428571425,0.48240221944187567
124,1593.52,0.4486397020792387,0.4797273701576291
125,1620.29,0.44727260177052236,0.4665940983531024
126,1604.86,0.42235571914716297,0.43507940552937924
127,1624.9199999999998,0.31607780590132106,0.35578657885056664
128,1643.64,0.349350739531977,0.37887253817216193
129,1620.91,0.3511934771648615,0.37834513247483204
130,1631.2199999999998,0.38707332271688705,0.40635026604754976
131,1618.52,0.42730668142205014,0.443306254142678
132,1615.84,0.4271535774803748,0.4423759253580971
133,1623.79,0.4553677777969584,0.4722255343033045
134,2032.9199999999998,0.5033926469570034,0.5281381682522692
135,2017.83,0.47526963627235425,0.5237946904860176
136,2033.85,0.4793728650258387,0.4990002085454568
137,2018.81,0.4368692570912438,0.46120930912613284
